"","YEAR","CPUE","running.median"
"1",1990,0.306790473083197,0.306790473083197
"2",1991,0.235187320754717,0.306790473083197
"3",1992,0.320963603341809,0.289599545454545
"4",1993,0.289599545454545,0.289599545454545
"5",1994,0.220512868398016,0.220512868398016
"6",1995,0.16069721627409,0.220512868398016
"7",1996,NA,NA
"8",1997,NA,NA
"9",1998,NA,NA
"10",1999,NA,NA
"11",2000,NA,NA
"12",2001,NA,NA
"13",2002,NA,NA
"14",2003,NA,NA
"15",2004,NA,NA
"16",2005,NA,NA
"17",2006,NA,NA
"18",2007,NA,NA
"19",2008,0.315635235457064,0.290909990160708
"20",2009,0.290909990160708,0.314233602722246
"21",2010,0.314233602722246,0.296081444845791
"22",2011,0.296081444845791,0.314233602722246
"23",2012,0.319877962013868,0.319877962013868
"24",2013,0.479250561330561,0.473458172431595
"25",2014,0.473458172431595,0.473458172431595
"26",2015,0.4514455692767,0.4514455692767
"27",2016,0.310634898724681,0.346293437080762
"28",2017,0.346293437080762,0.346293437080762
"29",2018,0.447699327683793,0.447699327683793
"30",2019,0.771251582278481,0.650511108889853
