"","YEAR","CPUE","running.median"
"1",1985,0.358723979057592,0.485035293518984
"2",1986,0.509363373257937,0.509363373257937
"3",1987,0.53839105511811,0.521527413127413
"4",1988,0.521527413127413,0.53839105511811
"5",1989,0.773612538026108,0.773612538026108
"6",1990,0.824848877126654,0.824848877126654
"7",1991,0.851974468085106,0.824848877126654
"8",1992,0.807640845720201,0.807640845720201
"9",1993,0.701138264414677,0.701138264414677
"10",1994,0.635296416054268,0.635296416054268
"11",1995,0.572545839416058,0.572545839416058
"12",1996,0.463745726606744,0.463745726606744
"13",1997,0.337639816657757,0.42963425337944
"14",1998,0.42963425337944,0.398037814638673
"15",1999,0.398037814638673,0.398037814638673
"16",2000,0.341498723285598,0.398037814638673
"17",2001,0.444151721625068,0.379603832335329
"18",2002,0.379603832335329,0.44297094972067
"19",2003,0.44297094972067,0.44297094972067
"20",2004,0.466193272824346,0.44297094972067
"21",2005,0.442524222985556,0.466193272824346
"22",2006,0.705787471850317,0.705787471850317
"23",2007,1.1500721007514,1.1500721007514
"24",2008,1.65170327452397,1.65170327452397
"25",2009,1.86680810360014,1.65170327452397
"26",2010,1.64197648514851,1.64197648514851
"27",2011,1.63970836565204,1.63970836565204
"28",2012,1.62510753225407,1.63970836565204
"29",2013,1.89260447519753,1.89260447519753
"30",2014,2.02272185197275,1.89260447519753
"31",2015,1.77855082242844,1.77855082242844
"32",2016,1.7352449225915,1.77855082242844
"33",2017,2.25717573231116,2.25717573231116
"34",2018,2.76732108987989,2.63488449104812
"35",2019,2.63488449104812,2.63488449104812
