"","YEAR","CPUE","running.median"
"1",1986,0.195061899897855,0.195359417532963
"2",1987,0.203953034399679,0.201088495444107
"3",1988,0.201088495444107,0.203953034399679
"4",1989,0.33273682262363,0.235523488602577
"5",1990,0.235523488602577,0.278373541151872
"6",1991,0.278373541151872,0.242913215114447
"7",1992,0.242913215114447,0.242913215114447
"8",1993,0.186687161053372,0.191501580630425
"9",1994,0.191501580630425,0.191501580630425
"10",1995,0.197548443165149,0.191501580630425
"11",1996,0.13881606995385,0.13881606995385
"12",1997,0.123248542973073,0.124457039783545
"13",1998,0.124457039783545,0.123248542973073
"14",1999,0.103953012981098,0.124457039783545
"15",2000,0.129996582683525,0.129996582683525
"16",2001,0.14515263600673,0.129996582683525
"17",2002,0.124999119235563,0.14515263600673
"18",2003,0.223262982107356,0.223262982107356
"19",2004,0.316173698630137,0.316173698630137
"20",2005,0.666977703346817,0.666977703346817
"21",2006,1.17785089903008,1.17785089903008
"22",2007,1.33034320517701,1.33034320517701
"23",2008,1.35230656636217,1.35230656636217
"24",2009,1.37317875094308,1.35230656636217
"25",2010,1.2526803187442,1.2526803187442
"26",2011,1.06836438196925,1.06836438196925
"27",2012,0.965537914868387,0.965537914868387
"28",2013,0.896107442536812,0.965537914868387
"29",2014,1.0216900289356,0.948746778010439
"30",2015,0.948746778010439,1.0216900289356
"31",2016,1.08031805062325,1.08031805062325
"32",2017,1.31598404265125,1.31598404265125
"33",2018,1.56548405118636,1.56548405118636
"34",2019,1.63838491743534,1.63838491743534
